University,Approved Amount,Canton,Latitude,Longitude
AO Research Institute - AORI,3435621.0,,,
Allergie- und Asthmaforschung - SIAF,19169965.0,GR,46.7954192,9.8200409
Berner Fachhochschule - BFH,31028695.0,BE,47.0574225,7.621387700000001
Biotechnologie Institut Thurgau - BITG,2492535.0,TG,47.64832730000001,9.161303
Centre de rech. sur l'environnement alpin - CREALP,1567678.0,VS,46.2285589,7.367433499999999
EPF Lausanne - EPFL,1175315913.92,VD,46.5190557,6.566757600000001
ETH Zürich - ETHZ,1635596618.2500002,ZH,47.376313,8.547669899999999
Eidg. Anstalt für Wasserversorgung - EAWAG,74619222.37,ZH,47.4037666,8.609547599999999
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",48360389.629999995,,,
Eidg. Hochschulinstitut für Berufsbildung - EHB,2086572.0,BE,47.001506,7.450692999999999
Eidg. Material und Prüfungsanstalt - EMPA,58574515.92,ZH,47.4022054,8.612229899999999
Ente Ospedaliero Cantonale - EOC,5067172.0,TI,46.1968913,9.026636499999999
Fachhochschule Kalaidos - FHKD,1090280.0,ZH,47.415454,8.543825
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,42771914.120000005,SO,47.3480153,7.9078154
Fachhochschule Ostschweiz - FHO,4437056.0,SG,47.4208058,9.363574999999999
Facoltà di Teologia di Lugano - FTL,8000.0,TI,46.0106931,8.9579396
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,12000.0,VS,46.317923,7.983177
Firmen/Privatwirtschaft - FP,111686719.9,,,
Forschungsanstalten Agroscope - AGS,33115719.0,,,
Forschungsinstitut für Opthalmologie - IRO,3478469.0,,,
Forschungsinstitut für biologischen Landbau - FIBL,7442410.0,HE,50.12062,8.638150000000001
Forschungskommission SAGW,100000.0,,,
Franklin University Switzerland - FUS,65956.0,TI,45.997588,8.938819
Friedrich Miescher Institute - FMI,40229142.61,BS,47.56774159999999,7.603559899999998
HES de Suisse occidentale - HES-SO,34162965.46,JU,47.3625918,7.3522363
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",627380.0,JU,47.3625572,7.352077899999999
Haute école pédagogique du canton de Vaud - HEPL,1430686.0,VD,46.5128571,6.6215937
Haute école pédagogique fribourgeoise - HEPFR,1547498.0,FR,46.8111769,7.159208400000001
Hochschule Luzern - HSLU,10768116.36,LU,47.046681,8.314912
Idiap Research Institute - IDIAP,22183105.2,VS,46.109376,7.084442999999999
Inst. Suisse de Spéléologie et Karstologie - ISSKA,624819.0,NE,47.09975319999999,6.823160199999999
Inst. de Hautes Etudes Internat. et du Dév - IHEID,38864231.6,GE,46.22091630000001,6.143691599999999
Inst. universit. romand de Santé au Travail - IST,6882729.85,VD,46.5432643,6.661678900000001
Institut Universitaire Kurt Bösch - IUKB,1977340.0,VS,46.2301033,7.3987243
Institut für Kulturforschung Graubünden - IKG,1219681.0,GR,46.85109979999999,9.533924299999999
Instituto Ricerche Solari Locarno - IRSOL,951238.0,TI,46.1768822,8.789081999999999
Interkant. Hochschule für Heilpädagogik ZH - HfH,2839872.0,ZH,47.4032152,8.5471186
Istituto Svizzero di Roma - ISR,141000.0,Lazio,41.90634319999999,12.4876114
Kantonsspital St. Gallen - KSPSG,15034105.0,SG,47.4303373,9.3868891
"NPO (Biblioth., Museen, Verwalt.) - NPO",334130583.79,,,
Nicht zuteilbar - NA,142425719.57,,,
Paul Scherrer Institut - PSI,115268968.87,AG,47.53857199999999,8.229908
Physikal.-Meteorolog. Observatorium Davos - PMOD,12098436.0,,,
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,159317.0,,,
Pädagogische Hochschule Bern - PHBern,1990389.6,BE,46.9522372,7.422682999999999
Pädagogische Hochschule Graubünden - PHGR,614613.0,GR,46.8669842,9.536720899999999
Pädagogische Hochschule Luzern - PHLU,1979281.0,LU,47.0510453,8.3023319
Pädagogische Hochschule Nordwestschweiz - PHFHNW,3476142.0,BL,47.4753062,7.740442199999998
Pädagogische Hochschule Schaffhausen - PHSH,176691.0,SH,47.7073984,8.645286199999997
Pädagogische Hochschule Schwyz - PHSZ,936551.0,SZ,47.0450543,8.5532354
Pädagogische Hochschule St. Gallen - PHSG,2098387.0,SG,47.43028289999999,9.3824689
Pädagogische Hochschule Thurgau - PHTG,1526446.0,TG,47.6475771,9.1806833
Pädagogische Hochschule Wallis - PHVS,425498.0,,,
Pädagogische Hochschule Zug - PHZG,495715.0,ZG,47.16221090000001,8.5188031
Pädagogische Hochschule Zürich - PHZFH,3298346.0,ZH,47.3776241,8.534657200000002
Robert Walser-Stiftung Bern - RWS,569579.0,BE,46.94793850000001,7.445112199999998
