playerShort,height,weight,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,meanIAT,nIAT,seIAT,meanExp,nExp,seExp,position,club,leagueCountry,rater,firstName
aaron-hughes,182.0,71.0,654,247,179,228,9,19,0,0,0.34645913229080155,19710.156626506025,0.0006517321793219927,0.49457483782317285,20637.277108433736,0.004065045415142253,1,34,0,0,0
aaron-hunt,183.0,73.0,336,141,73,122,62,42,0,1,0.34881834790125466,26104.29292929293,0.00021872099379383403,0.44922021689199154,26864.454545454544,0.0009927120740824012,0,91,2,0,0
aaron-lennon,165.0,63.0,412,200,97,115,31,11,0,0,0.34589293093477363,21234.861386138615,0.000367097376588263,0.49148178895621647,22238.742574257427,0.002032118278292569,10,83,0,0,0
aaron-ramsey,178.0,76.0,260,150,42,68,39,31,0,1,0.3468212962922435,38285.82692307692,0.0033340621989814997,0.5146933609545438,39719.980769230766,0.013522446445360669,3,6,0,0,0
abdelhamid-el-kaoutari,180.0,73.0,124,41,40,43,1,8,4,2,0.33159954474135706,2832.3513513513512,0.0014878732652931891,0.33558723401949186,2953.837837837838,0.005296225687659518,1,51,1,0,1
abdou-traore_2,180.0,74.0,97,41,23,33,3,11,1,0,0.32007881965619894,4523.666666666667,0.002796737350552911,0.2965622807696765,4741.4047619047615,0.007957751377255037,10,36,1,1,2
abdoulaye-diallo_2,189.0,80.0,24,8,8,8,0,0,0,0,0.34162499313708594,2646.7,0.00023656855596770643,0.40081849834653027,2762.5,0.0009691947700780279,5,80,1,1,3
abdoulaye-keita_2,188.0,83.0,3,0,1,2,0,0,0,0,0.35540553213656745,1728.0,0.00043260164981073453,0.41722539905933453,1808.5,0.001777107886283207,5,36,1,1,3
abdoulwhaid-sissoko,180.0,68.0,121,34,25,62,3,21,0,2,0.34817825822102294,2470.1964285714284,0.00018040569048769474,0.429630272215213,2593.214285714286,0.0007434452893322437,4,78,1,1,4
abdul-rahman-baba,179.0,70.0,50,17,8,25,0,3,0,1,0.3420724539098491,6829.62962962963,0.00019162768969389202,0.36106849149744147,7039.222222222223,0.001024151783266355,6,77,2,1,5
abdul-razak,180.0,78.0,36,16,8,12,0,2,0,0,0.3545657236856301,25470.909090909092,0.0011687192442212384,0.5364080241452557,26647.242424242424,0.007557460721964314,3,48,0,1,5
abel-aguilar,185.0,78.0,246,93,61,92,25,70,3,2,0.3591832730484047,21087.136363636364,0.0007132122421451843,0.5491047346378064,21721.081818181818,0.003824651193112715,4,23,3,0,6
abelaziz-barrada,185.0,78.0,85,28,25,32,14,11,1,1,0.3415413408561621,2168.74358974359,0.003397340058145142,0.3992371516046735,2280.7179487179487,0.016715664798498953,12,35,3,0,7
abou-diaby,188.0,75.0,208,109,51,48,21,24,0,2,0.33690646367594534,19587.23076923077,0.0005329721881175478,0.4228672937756214,20512.846153846152,0.0025584199950705396,3,6,0,1,8
adam-bodzek,184.0,79.0,211,88,63,60,9,66,1,0,0.3366281626427213,7749.0,5.4540251130763845e-05,0.3359668924003007,7974.0,0.00022506163657901715,4,33,2,0,9
adam-campbell,168.0,65.0,20,6,5,9,2,1,0,0,0.33324617116888755,32368.764705882353,0.00013149092964618767,0.3899783485430745,33895.82352941176,0.0006998957891054454,12,53,0,0,9
adam-federici,188.0,90.0,206,83,54,69,1,4,0,0,0.3302501290261906,88233.79012345678,0.0001785087849305537,0.38015738398940435,91433.76543209876,0.0012248930601728007,5,63,0,0,9
adam-hlousek,188.0,76.0,131,46,34,51,13,21,0,0,0.3647717985511291,5476.8,0.00039962739371270567,0.4985351624324135,5665.9,0.001928986539500207,7,0,2,0,9
adam-johnson,175.0,62.0,339,145,68,126,55,21,0,0,0.3388060918208238,28851.967391304348,0.00015667063319800735,0.41879654529946037,30211.510869565216,0.0006919948536390087,7,82,0,0,9
adam-morgan,179.0,74.0,23,8,7,8,1,0,0,0,0.3469971491480931,26017.739130434784,0.0029214683174327446,0.4481018507040751,27243.521739130436,0.005622052986858889,12,45,0,0,9
adam-pinter,190.0,76.0,82,28,18,36,1,14,1,1,0.3654168470232095,4213.535714285715,0.0014916168963046053,0.6300617653708416,4415.089285714285,0.007984720932506214,1,70,3,0,9
adam-smith_3,173.0,73.0,131,55,31,45,4,29,2,1,0.33152890837165855,37976.614285714284,0.0008705852263855803,0.3884808498644213,39775.07142857143,0.004676442726807115,9,50,0,0,9
adam-szalai,193.0,87.0,182,83,40,59,51,18,1,0,0.34779115733942184,6442.242857142857,0.00048523231343261964,0.4530658399990563,6664.671428571429,0.0027770127324140753,2,1,2,0,9
adan,190.0,88.0,44,22,6,16,0,1,0,1,0.3691843912066443,3396.9032258064517,0.0006072218478815045,0.5838489595557421,3573.5806451612902,0.003864710989367722,5,66,3,0,10
adel-taarabt,180.0,78.0,209,67,56,86,41,23,1,0,0.3264780431914264,33441.416666666664,0.0010662694182232081,0.33556376213315464,35034.71428571428,0.004518705135745126,7,60,0,0,11
adil-rami,190.0,88.0,286,144,71,71,20,59,2,3,0.3545386081835976,5007.742574257426,0.0003298645590122653,0.49204746221963663,5249.920792079208,0.0015405823630661084,1,87,3,0,12
adrian-colunga,171.0,69.0,178,53,43,82,39,22,1,0,0.36567878026938894,1870.4468085106382,0.0002754870884638551,0.5769928507686437,1978.1489361702127,0.0012092591482737343,2,35,3,0,13
adrian-mutu,180.0,74.0,453,199,120,134,178,90,2,3,0.36415052512831425,7490.4,0.0003769644480403746,0.5336911175196776,7857.2,0.0017484887478989297,8,3,1,0,13
adrian_2,183.0,73.0,294,145,62,87,60,16,0,0,0.35704798313920855,29831.43023255814,0.0004107738523703764,0.517617733147926,30784.36046511628,0.0022671248068364246,2,10,3,0,13
adrian_7,188.0,82.0,29,10,11,8,0,3,0,0,0.3698935941871719,1785.0,0.0002294896408664641,0.5882973115445439,1897.0,0.00100164730649311,5,73,3,0,13
adriano_24,172.0,67.0,373,229,59,85,33,58,1,3,0.3584279085662786,23923.25925925926,0.0005894947189703688,0.5715225830763536,24678.333333333332,0.0029838977913776493,7,29,3,0,14
adrien-rabiot,188.0,71.0,66,42,14,10,6,11,0,0,0.3429196009968158,5908.078947368421,0.001518068723311111,0.4550012282320264,6182.368421052632,0.007906092901432718,4,59,1,0,15
aduriz,182.0,78.0,322,125,82,115,105,68,3,4,0.36366579245974384,4855.571428571428,0.00024804789206479106,0.5664796113661448,5101.936507936508,0.0011051328436944602,2,9,3,0,16
